UUID,Name,Birthday,Gender,Class
0e24dd71-9356-4116-ad29-a4b5b146e995,Vo Hoang Bao Phuong,02/02/2003,True,1d49910e-2347-44c2-9564-ea49aff0c942
328fe9b5-43f2-4f70-aee4-757412bf8fce,Tran Minh Van,21/07/2001,False,d0259ae6-76fb-45ce-9670-4faee9205de5
eac1efdd-fa84-493b-9590-19de8ea253bd,Le Thuy Phuong,04/07/2002,True,66ddd97a-be04-4b10-b0d6-9bea0146ad55
3203ed73-9fc1-49b7-b5e9-c3dbaf63b9c3,Ly Hoang Bao Phuong,21/02/2004,True,488082a4-e02c-49ee-a50c-644bcd829e8c
127a9ccf-9640-49b8-9649-51cd559e4433,Nguyen Hoang Bao Uyen,25/04/2004,False,0d46d460-844c-4a3b-87b1-64a334f1f329
b8e93bc8-cd11-409a-88eb-56b3c1acb455,Vo Anh Minh,06/05/2004,False,5b1ac475-f73f-4654-8b26-637c4240acda
fba2ee8b-0f5e-44d6-a2ed-c103a4efdc4e,Le Minh Van,30/08/2001,False,ce96e559-933c-4715-85a8-7a8e03e25f79
441e901e-271d-466c-9311-41635c61e5d9,Ho Van Long,26/12/2003,True,0d46d460-844c-4a3b-87b1-64a334f1f329
d6649cbc-2ae8-4a5b-b0f8-2d583fb6458c,Ho Thi Phuong,11/06/2001,False,e816ee8b-9f0f-444a-8cee-af8951ade50c
e174d5d9-55cb-4d14-b7a3-70808946d086,Ho Thuy Long,19/03/2004,True,66ddd97a-be04-4b10-b0d6-9bea0146ad55
63d79eba-ce00-4012-a715-bbe5c5ce10e0,Ho Thuy Phuong,24/11/2003,False,35bd0afd-a226-41b2-9d59-7b9a08c979ab
5d4a3f2b-00f0-412e-a720-129058a0f83e,Ly Anh Uyen,10/03/2001,False,9906c6ed-1187-4684-ae42-6f6e230d8181
1c618225-7464-4942-ae71-4fa51f425ecd,Le Thuy Anh,10/03/2004,False,d0259ae6-76fb-45ce-9670-4faee9205de5
7394a29c-2541-46a9-befe-2eb563316e58,Le Minh Thanh,04/09/2003,True,464dc6f2-3bcf-4cfc-a922-947545b1aebc
104ac4a7-e197-4035-ad1c-22c3abece93f,Vo Thuy Khanh,04/06/2004,True,79af7c4d-fc04-4e3f-8797-3b4f544c643a
560afd0e-c973-4ba9-857c-eba7fe7b4f7e,Ly Hoang Bao Thanh,26/07/2002,True,a1178f9f-f768-4dd3-b1bf-7909ca57ad11
3a8e5759-0bb8-416e-b03e-bc7c04583ff6,Ho Minh Minh,11/07/2003,False,35bd0afd-a226-41b2-9d59-7b9a08c979ab
4509578d-2345-4da2-b035-133b495117d4,Tran Van Phuong,31/05/2002,True,464dc6f2-3bcf-4cfc-a922-947545b1aebc
66fc4508-46d2-470c-82ec-82c1159981f9,Ly Minh Anh,26/08/2002,True,1d49910e-2347-44c2-9564-ea49aff0c942
477601ef-f48b-4235-ab15-c8ddd639c104,Ly Hoang Bao Van,03/01/2004,False,1d49910e-2347-44c2-9564-ea49aff0c942
fe9a519b-1480-4639-bd3d-06debe1d0a81,Le Thi Minh,22/03/2001,True,35bd0afd-a226-41b2-9d59-7b9a08c979ab
bb0afdb1-4ad0-4633-a415-7210b5c17d90,Vo Van Phuong,06/08/2001,False,a1262a3c-5b85-452a-a901-705f71db11f4
53e0f832-2396-45d2-91bb-901f9de6b1c0,Vo Thi Thanh,19/06/2003,True,d60a7dbd-3a21-4374-bbd5-721f9b24280f
5140b6c5-924f-4387-a671-fc8f47f9164f,Nguyen Thi Uyen,30/07/2002,False,1d49910e-2347-44c2-9564-ea49aff0c942
6f75d066-7d88-4ce9-a7b8-957eae1bd685,Le Hoang Bao Long,09/06/2002,True,35bd0afd-a226-41b2-9d59-7b9a08c979ab
16c48ade-7c88-4a09-bc7e-89ba88c2ac8f,Le Anh Dat,04/02/2002,True,1d49910e-2347-44c2-9564-ea49aff0c942
a9a029e4-6341-4f9b-965f-6175ac189a73,Le Anh Phuong,10/02/2002,True,1d49910e-2347-44c2-9564-ea49aff0c942
81bf1aff-733a-4971-b4b9-2dba2a2c0b92,Ly Anh Phuong,26/07/2002,True,286924e5-e58b-4fb9-aa93-75ef04554d0f
c104df24-8521-47c9-9de2-00acb1001408,Ho Thuy Van,09/07/2003,False,464dc6f2-3bcf-4cfc-a922-947545b1aebc
85746048-f574-4c95-9df7-5295d1ab7beb,Vo Van Thanh,13/07/2004,True,35bd0afd-a226-41b2-9d59-7b9a08c979ab
095f96eb-abbc-47c1-888a-72718033b464,Ho Thi Uyen,17/07/2002,False,35bd0afd-a226-41b2-9d59-7b9a08c979ab
e594e88a-e777-4cca-8299-d43ac798bc78,Ly Thuy Dat,27/10/2003,True,d9020432-d533-412f-b45e-8055b12f8aa8
b813cbc3-bec9-4c1c-a04f-a84fc8934f9b,Vo Minh Minh,28/02/2001,False,e816ee8b-9f0f-444a-8cee-af8951ade50c
f6b1c6e4-0989-46c7-8451-fd4b6393d6aa,Nguyen Thuy Phuong,22/03/2003,False,488082a4-e02c-49ee-a50c-644bcd829e8c
27a1b109-cb16-4305-983c-94ead9052ce3,Ly Thuy Van,19/10/2003,False,1d49910e-2347-44c2-9564-ea49aff0c942
cd2a4fc2-513c-42cf-aebc-03b51f1fc7ac,Tran Anh Anh,15/06/2004,False,0d46d460-844c-4a3b-87b1-64a334f1f329
0357a717-5280-474e-a904-d1ff85ae8f8e,Nguyen Minh Van,23/05/2003,False,488082a4-e02c-49ee-a50c-644bcd829e8c
0dc0dfe8-d11f-448d-932b-4c7aad10c83f,Ho Thi Uyen,20/11/2004,False,d0259ae6-76fb-45ce-9670-4faee9205de5
b9fabe9d-36ad-4f76-8ef9-a54c8c6020ab,Nguyen Thuy Van,27/08/2003,False,d9020432-d533-412f-b45e-8055b12f8aa8
e32818d3-ef4a-4320-91a1-c817b81ee905,Tran Minh Minh,08/07/2003,False,d60a7dbd-3a21-4374-bbd5-721f9b24280f
